Tanggapan,L_Layanan,L_Fasilitas
"terlalu banyak antriann setiap harinya, tidak efesien, membuang waktu utk mengantri desak desakan. waktu les sering bentrok dengan jam kuliah.perbaiki lg",0,0
di perbaiki lagi,0,0
Bagus banget,0,0
ok,0,0
Tidak ada,1,1
KEREN,1,1
lebih di perbaiki lagi,0,0
-,0,1
"sudah lumayan bagus, mohon ditingkatkan lagi",0,0
There's no suggestions.,1,1
ya bagus,1,1
-,0,0
Sudah cukup.,0,0
sudah baik,0,1
cukup baik dan membantu dalam akademik bahasa,1,1
bagus,1,1
Lebih baik lagi,0,0
Kurang informasi,0,0
-,1,1
"Tolong tingkatkan keramahan, kesopanan, kesabaran para pegawai dalam menghadapi mahasiswa",0,0
-,0,0
lebih ditingkatkan lagi,0,1
"Menurut saya, masih banyak hal-hal di Indonesia yang perlu diperbaiki demi menyambut era globalisasi. Bidang-bidang dasar seperti politik, ekonomi, sosial & budaya, serta hukum harus banyak mengalami perubahan mengarah kepada yang lebih baik.",1,1
tidak ada saran,0,0
sudah baik,0,0
penyebaran informasi masih kurang luas dan jelas. maka tingkatkan lagi,0,0
Tingkatkan lagi,0,0
kurang tau,0,0
sangat baik,0,0
Tdk ada,0,0
ditingkatkan saja,0,0
pelayanan sudah baik,1,1
Sudab sesuai prosedur,1,1
lebih jelas lagi tentang informasi apapun,0,0
Lebih di tingkatkan lagi,0,0
Baik,0,0
pertahankan  dan terus tingkatkan,1,1
-,0,1
belum,1,1
tingkatkan,1,1
baik,1,1
-,1,1
layanan pusat bahasa di telkom sudah baik,1,1
lebih baik lagi,0,0
Lebih ditingkatkan,1,1
standar,1,1
ok,0,0
baik,1,1
mungkin bisa lebih ditingkatkan,0,0
menggunakan native speaker agar dapat membantu visi nya menjadi universitas internasional dan lebih aktif menawarkan pada mahasiswanya,0,0
harus ditingkatkan lagi,0,0
terbaik lebih ditingkatkan,1,1
saya kurang tau karena saya belum pernah menikmati layanan pusat bahasa,1,1
di front office lac pake no antrian biar efisien,0,1
Semoga layanan di bidang akademik di TelU bisa lebih dikembangkan lagi.,0,0
Bagus,0,0
tingkatkan layanan ini,0,0
lebih ditingkatkan lagi,0,0
Bagus,0,0
tolong lebih ditingkatkan lagi layanannya,0,0
Tidak ada,0,1
baik,0,0
untuk tingkat satu sudah cukup puas,0,0
Agar lebih lagi,0,0
lebih berkembang lagi,1,1
Untuk pelayanan respon lambat,0,0
Cukup baik,0,0
sudah cukup,1,1
-,1,1
no comment,0,0
mantapp,0,0
-,0,0
"layanan pusat bahasa kurang tersebarluaskan karena jurusan saya belum ada bahasa inggris, sedangkan bahasa inggris sangat dibutuhkan apalagi dengan toefl itu sangat dibutuhkan",0,0
,1,1
pertahankan,0,0
no,0,0
perbaiki sistem informasinya...,0,0
no comment,0,1
-,0,0
lebih ditingkatkan lagi,0,0
lebih di tingkatkan,1,1
no comment,0,0
mantap,0,1
sudah lumayan bagus,0,0
sudah bagus,1,1
Diperbaiki lagi,0,0
sudah sangat membantu dan baik sekali,0,0
tidak ada,0,0
ruangan yang kurang memedahi,1,1
untuk mempercepat dalam pelayanan,1,1
sudah dapat berfungsi sesuai dengan tujuannya,0,1
sudah bagus,1,1
lebih menanggapi setiap aspirasi mahasiswa,0,0
sudah baik,1,1
informasi secara online dari pusat bahasa cukup baik tapi harus lebih melayani,0,0
-,0,0
Tidak tau,0,0
Sudah baik,0,1
cukup,1,1
baik,0,0
untuk diadakan program bahasa yang bersifat wajib,1,1
tingkatkan lagi,0,0
sudah cukup baik hanya untuk pengumuman nilai eprt dan ecct saat ada yang retake mungkin dapat diperbaiki,1,1
tingkatkan lagi,1,1
-,0,1
lebih ditingkatkan lagi dalam layanannya,0,0
baik,0,0
tidak ada,0,0
sudah baik,0,0
"sudah cuku, esapnya masih mahal",0,0
perbaiki,0,0
,0,0
"Bikin language day misal english day di kawasan ged,a ged b",0,0
sudah bagus,0,0
Tingkatkan lagi,0,0
"luar biasa, tingkatkan",0,0
antrian esap terlalu panjang. sebaiknya ditambahkan jumlah pengajarnya,1,1
"Semakin baik, semakin rapi dan nyaman",0,0
baik,1,1
sip,0,0
bagus,0,0
-,0,1
bagus,1,1
-,0,0
oke,0,0
Tidak ada,0,0
cukup,0,0
..,0,0
belum pernah kesana,1,1
ya sudah cukup lah,0,0
semoga lebih baik lagi,1,1
cukup bagus,0,0
lebih bagus lagi,1,1
Tambahan tes,1,1
diperbaiki lagi,1,1
Oke,0,0
.,1,1
sudah bagus,0,0
excelent,0,0
-,0,0
perbanyak lagi program-program di pusat bahasa,0,1
sudah cukup baik,1,1
tingkatkan juga ok,0,0
sangat baik,0,0
semoga kedepannya lebih ditngkatkan lagi,0,0
tingkatkan agar lebih baik,0,0
Kurang,0,0
Sudah baik,1,1
saran : lebih di tingkatkan lagi,0,0
,0,0
-,1,1
sip,1,1
kalau bisa tes ecct nya gratis,0,0
Okelah di perbaiki ya,1,1
Sangat memuaskan,0,1
U,0,0
sudah sangat bagus,0,0
Selalu tingkat lagi menjadi lebih baik,0,0
di karenakan saya belom pernah ke layanan pusat bahasa mungkin saya sekarang belom bisa memberikan saran atau masukan,1,1
lebih diperbaik lagi,1,1
-,0,0
good,0,0
pelanyanan lebih ditingkatkan,0,0
lebih baik lagi kedepannya,0,0
-,1,1
semoga kedepannya lebih baik dari sebelumnya,0,0
"Implementasi layanan di universitas Telkom dalam bidang layanan pusat bahasa sudah cukup baik. saran nya perbanyak kegiatan yang menambah pengetahuan mahasiswa tentang bahasa, terutama bahasa asing.",0,0
Kedepannya lebih baik,0,0
Baik,1,1
belum pernah ke layanan pusat bahasa,0,0
di perbagus lagi,0,0
kurang,0,0
"Untuk layanan Pusat bahasa, merupakan layanan favorit :)",0,0
,1,1
,1,1
"tidak ada saran, karena saya tidak mengikuti layanan pusat bahasa",0,0
tingkatkan,0,1
"sudah cukup baik dalam proses pelayanan pusat bahasa, dan memuaskan",1,1
",",0,0
masih oke,0,0
Harus ramah,0,0
null,0,1
-,0,0
Pas,0,0
kh,0,0
Makin ditingkatkan,0,0
Supaya pihak kampus dapat meningkatkan tingkat pelayanan pusat bahasa lebih baik lagi.,0,0
sudah baik.,1,1
butuh native speaker,0,0
ruangan pusat bahasa perlu diperluas,0,0
Bagus,1,1
very satisfied,0,0
hhihih,1,1
dalam pusat bahasa diperlukan pembimbing yang aktif pula dalam layanan pusat bahasa,0,0
-,0,0
Cukup baik,0,0
sudah bagus,1,1
Oke,0,0
Sudah baik,0,0
Semoga pusat bahasa lebih bagus lagi,1,1
O,0,0
.,0,1
lebih ditingkatkan,0,0
Tidak ada,0,0
Tingkatkan,0,0
Baik,1,1
Semoga semakin baik,1,1
sudah bagus,1,1
Kurang ramah,0,0
,1,1
-,1,1
ditingkatkan menjadi lebih baik lagi,1,1
Asdf,1,1
Lebih baik khususnya pada bagian pelayanan,1,1
tidak ada,1,1
tidak ada,0,1
tidak ada,1,1
"Pelayanan pusat bahasa lebih memperhatikan tentang proses legalisir,karena ada beberapa mahasiswa yang telah mengajukan legalisir namun sudah 3 minggu belum terselesaikan dan pihak pelayanan tidak mau tau tentang itu",0,1
semoga kedepan bisa lebih baik lagi,0,1
Pertahankan dan ditingkatkan lagi,0,0
tidak ada saran,0,0
sarannya supaya dalam memberikan informasi terkait jadwal lebih ditingkatkan kembali.,1,1
tingkatkan,1,1
tingkatkan,1,1
Tingkatkan lagi,0,0
lebih ditingkatkan,0,0
lumayan,0,0
seharusnya bisa memilih jadwal sendiri karena suka bentrok,0,0
Ga,1,1
diadakan test toefl gratis sebagai prediksi skor mahasiswa,1,1
lebih semangat membina dan melayani mahasiswa,0,0
"Sudah bagus, lanjutkan",1,1
-,0,0
Lebih di tingkat kan,1,1
lebih ditingkatkan,0,0
belum,1,1
dalam tes ecct dan eprt ruangan yang di gunakan sudah cukup baik..,0,0
Tidak ada,0,0
baik sudah snagat baik,0,0
sangat baik,0,0
"walau saya belum mengikuti layanan yang Pusat Bahasa berikan, tapi saya berharap agar lebih ditingkatkan lagi",0,0
sudah baik tetapi harus lebih ditingkatkan lagi agar menjadi lebih baik untuk kedepannya,0,0
-,0,0
tingkatkan lagi,0,0
cukup puas,0,0
terus perbaiki kualitas,0,0
tidak ada,0,0
kurang terdengar ada nya layanan pusat bahasa,0,0
"saya belum mengikuti les, jadi saya tidak tahu.",1,1
Buat Parkiran khusus mahasiswa FEB,0,0
cukup,1,1
Cukup baik,0,0
baik,1,1
GOOD,0,0
Cukup baik karena membuat ahasiswa jadi tambah pengetahuan nya,0,0
baik,0,0
lebih baik lagi lah,0,0
cukup,0,0
tidak ada,0,0
lebih baik lagi :),1,1
Harus di tingkatkan lagi agar lebih baik,0,0
sudah berjalan dengan baik,0,1
"dipermudah dalam pendaptaran layanan pusat bahasa, informasi tentang pusat bahasa masih kurang. layanannya ditinggkatnya lagi. seperti jadwal, dll.",0,0
layanan LaC sudah bagus,0,0
diperbaiki lagi kekurangannya,0,1
Pertahankan,0,0
Sudah bagus,0,0
baik,0,0
,0,0
Sudah baik,0,0
lanjutkan!!,1,1
tingkatkan,0,0
Pertahankan yg baik nya.,1,1
mohon dipercepat dalam proses pengambilan nilai dan untuk program ecct maupun eprt,1,1
-,0,0
menjadi perpustakaan yang lebih baik,0,0
kurang ada informasi jelas,1,1
Semoga jauh lebih baik,0,0
saya tidak ikut:),1,1
semoga layanan pusat bahasa di universitas telkom bisa tetap menjadi yang terbaik,1,1
Sudah berjalan dengan baik.,1,1
no suggestion,0,1
Lumayan,0,0
Berikan saran/masukan Saudara/i terkait dengan implementasi layanan di Universitas Telkom dalam bidang Layanan Pusat Bahasa,1,1
I'm sorry but i can't provide any suggestion because i have never accessed the LC's services.,1,1
tingkatkan layanan,1,1
bagus,0,0
Baik,1,1
Lebih ditingkatkan lagi,0,0
sudah cukup baik.,0,0
"sejauh ini masih kondusif, hanya perlu di tingkatkan.",0,0
to be best,0,0
informasi nya tidak menyeluru jadi tidak dsemua oran tau,1,1
pelajaran bahasanya di perbanyak,0,0
sangat baik,0,0
lebih ditingkatkan lagi penyebaran informasinya karena banyak juga mahasiswa yang masa bodoh dengan informasi dari pusat bahasa karena mereka mungin saja tidak tahu informasinya ada dimana,1,0
kurang tahu,1,1
lebih baik lagi kedepanya,0,0
bagus kok,0,1
tingkatkan,0,1
udah bagus,0,0
baik,0,0
tidak ada udah bagus kok,0,0
Bagus,1,1
tingkatkan lagi,0,0
yang baik,1,1
-,0,0
"dari segi layanan sudah baik, mohon untuk ditingkatkan lagi",0,0
Ditingkatkan lagi untuk kedepannya,0,0
--,0,0
waktu bimbingan eprt lebih di perpanjang jangan hanya 10x pertemuan,0,0
sering sering bikin event.,1,1
ok,0,1
sudah cukup bagus.,0,0
untuk layanan pusat bahasa sudah sangat baik,0,0
sebaiknya pelayanannya ditingkatklan lagi kualitasnya,0,0
bagus cukup,0,0
saran saya agar ditingkatkan lagi fasilitas modul yang lebih lengkap dan memadai,0,0
Sudah baik,0,0
ya,0,0
Cukup,0,1
.,1,1
ok,0,0
lebih ditingkat kembali demi kenyamanan mahasiswa,0,0
Pada waktu tes seharusnya jumlah peserta tes tidak hampir satu angkatan sebab itu sangat mengganggu kekondusifan tes bahasa,0,0
saya belum pernah menggunakan layanan ini untuk sekarang,0,0
Layanan pusat bahasa universitas telkom sudah cukup baik,1,1
Cukup memuaskan,0,0
Bagus,0,0
sangat baik,0,0
sudah cukup baik,0,0
sudah baik,0,0
"Untuk  LAC, jika mendapatkan nilai tambahan dari LAC bagusnya nilai tambahan tersebut di sama ratakan, tidak harus sesuai dengan harga les nya.",0,0
lebih di tingkatkan,0,0
lebih baik,1,1
-,0,0
cukup puas,1,1
tidak ada,1,1
lebih baik lagi,1,1
mantap,0,1
The teachers are quite satisfying,1,1
baik,0,0
LEBIH BAIK LAGI,0,1
"Bagus, Memuaskan",1,1
sudah cukup baik,1,1
Sudah baik,0,0
baagus tingkatkan,1,1
cukup memuaskan,0,0
tingkatkan pelayanan dan fasilitas,0,0
Mohon ditingkatkan,1,1
Kedepannya lebih baik lagi,0,1
di buka untuk ajaran bahasa asing selain bahasa inggris,0,1
tingkatkan,0,0
-,0,0
Penyebaran informasi pada sosial media mengenai jadwal/penggunaan fasilitas pada pusat bahasa,0,0
Sangat kurang. Sosialisasi untuk tes EPRT gratisnya untuk mahasiswa yang sedang menghadapi TAnya kurang sounding.,0,0
"Dont have a problem with LC services, you already provide us some courses and didnt disturb our class, so thank you. I finally can enjoy it :)",1,1
,0,0
sem oga dapat lebih baik lagi kedepannya,0,0
tidak ada,0,0
sangat baik dan di perkembangkan,1,1
terus berkembang di pusat bahasa,0,0
Layanan pusat bahasa jangan judes,1,0
sarannya pusat bahasa memberikan info jadwal-jadwal di igrasias,0,0
tidak mempunyai saran karna sudah baik dan cukup puas,0,0
bagus,0,0
-,0,0
the good service,0,0
"untuk kedepannya, kami berharap layanan idang pusat bahasa makin terus baik dan maju.",0,0
Sudah bagus juga,0,0
tidak pernah ikut,0,0
Sudah bagus,1,1
tingkatkan kembali,1,1
puas,0,0
pusat bahasa pakai ac akan lebih baik.,0,0
Layanan pusat bahasa sudah baiklah pelayanannya.,0,1
sudah baik,0,0
-,0,0
semua layanan sudah mencukupi,0,0
it's very good. because it can help me,0,0
.,1,1
.,0,0
-,0,0
Perbaiki lah,1,1
tingkatkan,0,0
wowow,0,0
suudah cukup baik,0,0
semoga lebih banyak bahasa yang di ajarkan,0,0
lumayan,1,1
.,1,1
No comment,1,1
baik,0,0
tingkatkan,0,0
sudah bagus,1,1
kerenn,0,1
lebih ditingkatkan,1,1
Cukup baik,0,1
sudah baik,0,0
Cukup respon,0,1
tidak ada,0,0
kurang,0,0
"sudah baik, ditingkatkan lagi saja",1,1
tingkatkan lagi,1,1
good,0,0
,0,0
pusat bahasa jgn terlalu fokus di tingkat 1,1,1
harus lebih cepat dalam pelayanan,0,0
untuk sertifikat agar keluar tepat waktu dengan waktu yang dijanjikan,1,1
Tingkatkan lagi pelayanan nya,0,0
good,0,0
diharapkan dapat selalu meningkatkan layanan,1,1
Baik,0,0
Baik,0,0
semoga lebih baik lagi,1,1
"ngga tau , ngga ada sosialisai yg aik",0,0
sudah cukup baik,0,0
best,0,0
lebih ditingkatkan lagi,0,0
layanan yang diberikan sudah baik,1,1
lebih ditingkatkan lagi dalam proses implementasi layanan tel-u di bidang layanan pusat bahasa,0,0
sudah baik,0,0
semoga semakin bagus kedepannya,0,0
lebih ditingkatkan lagi layanan pusat bahasa,1,1
overall is good,0,0
sudah cukup puas,0,0
ditingkatkan lagi,0,0
-,0,0
Sudah baik,0,0
"Pelayanan sudah cukup baik, modul yg di berikan sudah cukup bagus",1,1
sudah baik,1,1
Permudah system agar Mahasiswa/Dosen/Pengurus tidak kerepotan dan terjadi lempar sana sini,0,0
,0,0
good,0,0
good,0,0
kurang informasi,0,0
Tidak ada,0,0
-,0,0
-,0,0
Dipertahankan,1,1
good,0,1
proses bisnisnya terlalu ribet,0,0
pelayanan pusat bahasa sudah baik tapi perlu ditingkatkan,0,0
no coment,0,0
makin sukses buat kedepannya,1,1
sudah bagus,0,1
bagus,1,1
Sudah cukup baik,1,1
sangat baik,0,0
"menurut saya, sudah bagus",0,0
Semoga lebih baik lagi,0,0
Tingkatkan lagi,0,1
"pusat bahasa kalau bisa melakukan ujian calus dengan daftar online saja, misalkan dengan mengupload ktm dll, terimakasih",0,0
B,0,0
bagus,0,0
sangat cukup,1,1
lebih ditingkatkan lagi,0,0
Menambahkan layanan les private,0,0
lebih tingkatkan,0,1
Lebih baik lagi,1,1
tidak ada,1,1
,0,0
tidak ada,0,0
lebih berbaur dengan mahasiswa dan mahasiswi,0,0
-,0,0
sudah baik,0,0
.,1,1
semakin ditingkatkan,0,0
Semoga lebih baik,1,1
"tidak ada saran yang spesifik, semuanya terasa sudah angat baik",0,1
lebih di perjelas lagi mengenai jadwal les,1,1
perlunya peningkatan pada fasilitas esap class nya.,1,1
info-info tentang pusat bahasa sebaiknya disebarkan luaskan lagi karena masih ada yang belum tau info-info terbaru tentang pusat bahsa,0,1
sudah cukup baik,0,0
Layanan du pusat bahasa cukup bagus,0,0
bidang layanan pusat bahasa semua sudah bagus,0,0
hehehe,0,1
Sangat membantu mahasiswa yang tertarik dalam mendalami ilmu bahasa,0,0
Kurang baik dan harus bisa di perbaiki dalam layanan pusat bahasanya dan memberikan informasinya,0,0
Sudah cukup baik dipertahankan,1,1
"perbaiki jadwal wawancara, beberapa mahasiswa tidak dapat jadwal pasti",0,0
selalu tingkatkan pelayanan untuk lebih baik kedepannya,0,0
menurut saya sudah cukup bagus tinggal ditingkatkan saja lagi menjadi lebih baik,0,0
lebiih ditingkatkan lagi,0,0
"seperti kurang pegawai susah untuk bertanya , dan untuk EPRT dan ECCT eratisnya tolong di perbanyak waktunya",0,0
"menurut saya layanan sudah cukup baik, pertahankan",0,0
cukup,0,0
1,0,0
"jangan bikin ujian buat awa masuk, nanti aja kalau udah satu tahun baru di adakan",0,0
,0,0
"sudah cukup baik, pertahankan.",0,0
saran saya bisa lebih baik lagi layanannya,0,0
---,0,0
lebih di perbagus lagi,0,0
:),0,0
layanan sudah oke,0,0
,0,0
tidak ada,1,1
baik,0,1
untuk saat ini sudah cukup puas dalam pelayanannya,1,1
-,0,0
sudah cukup baik,0,0
baik,0,0
-,1,1
bagus,0,0
agar lebih baik,0,1
lebih baik,1,1
Sudah baik,0,1
mantab,0,0
"perjelas pamflet pendaftaran esap, eprt, ecct, ataupun kursus, karna ada beberapa bagian yang membingungkan",0,0
Layanan diperbaiki,1,1
Lebih ditingkatkan lagi sistemnya lebih baik lagi,1,1
,0,0
oke,0,0
Baik,0,0
lebih ditingkatkan,1,1
tidak ada,0,0
lebih ditingkatkan lagi pelayanan untuk mahasiswa  tel u,0,0
lebih dikembangkan,0,0
perbanyak jadwal les,0,0
,0,0
dipertahankan tingkat kesopanannya,0,0
Lebih ditiingkatkan dari segi apapun di pusat bahasa,1,1
lebih baik lagi ke depannya,0,0
baik,0,0
sudah bagus,1,1
oke,1,1
untuk kedepannya terapkan sistem yang lebih baik lagi,0,0
,1,0
lebih baik lagi,0,0
puas,0,0
cukup,0,0
Cukup,0,0
mantap,0,0
kegiatan pusat bahasa alangkah lebih baiknya lebih disebarluaskan karena masih banyak mahasiswa yang tidak tahu mengenai kegiatan-kegiatan yang dilakukan oleh ousat bahasa,0,0
Ok,0,0
sudah bagus,1,0
Sistem Pelayanannya agar dibuat lebih nyaman,0,0
"sara saya hanyalah 1, walau sudah baik tetapi harus lebih diperbaiki dari kemaren agar menjadi yang lebih baik di kemudian hari",1,1
-,0,0
di perbaiki laboratorium,0,0
-,0,0
kurang begitu tahu,0,0
tidak ada saran,1,1
"Sudah Bagus, fasilitas yang memadai membuat mahasiswa dan yang lain nya nyaman",0,0
Memberikan peluang yang besar bagi mahasiswa/I Telkom university dengan biaya yang rendah tanpa adanya biaya yang melambung tunggi.,1,1
"Well, belum ada sejaih ini karna blm pernah menggunakan layanan pusat bahasa",0,1
-,0,1
1. PERBAIKI FASILITAS,0,0
,0,0
Tingkat kan agar lebih baik,1,1
-,0,0
tidak ada saran,0,0
-,0,0
sudah bagus,1,1
lebih baik lagi utk kedepannya,1,1
ok,0,0
Tidak,0,0
diperbaiki sistem pembelajarannya,0,0
semoga lebih menarik programnya,0,1
Baik,1,1
-,1,1
banyakin kuota until kegiatan student changes,0,0
cukup,0,0
sudah baik semoga bisa lebih baik lagi,0,1
.,1,1
lebih diperbaharui,0,1
lebih ditingkatkan lagi,0,0
implementasi dari bidang pusat bahasa sudah cukup baik,0,0
tidak ada,0,0
Berguna untuk menghasilkan Sdm yang lebih baik,1,1
Untuk konversi nilai tes bahasa inggris dari IELTS mohon agar dipermudah pengurusannya,0,0
Lebih dimajukan lagi,0,0
Lebih baik lgi,1,1
bagus,0,0
sudah baik,0,0
Lebih banyak tes gratis,0,1
lebih baik lagi,0,1
Semga mudah nilai,0,0
"pelayananya kurang memuaskan, sebaiknya kinerjanya ditingkatkan dan bisa bersikap lebih ramah",0,0
tetap pertahankan sikap profesional nya,0,0
Top,1,1
kerennn tingkatkan lagi,0,0
dalam layanan pusat bahasa sudah cukup baik,0,0
baik,0,0
semoga lebih baik kedepannya,0,0
Semoga menjadi lebih baik lagi,0,0
tidak ada,1,1
"Bagus, diharapkan ada les bahasa untuk toefl dan conversation yang berkualitas",1,1
tingkatkan lagi dari segi pelayanan dan keramahan,0,0
Sudah baik. Pertahankan dan tingkatkan.,1,1
Bagus,0,0
-,0,0
Lebih di tingkatkan,0,0
aman,0,0
cukup,0,0
:),0,0
Bagus,1,1
tidak ada saran,0,0
perbaiki lagi,0,0
Perluditingkatkan lagi komunikasi antar mahasiswa dan dosen,0,1
lebih simple lagi dan menarik agar mahasiswa lebih tertarik lagi,1,1
Baik,0,0
Lebih responsif terhadap keluhan,1,1
sudah bagus,0,0
sudah cukup baik,1,1
baik,0,0
baik,1,1
sudah baik,1,1
pertahankan dan kedepan nya lebih baik lagi,0,0
.....,0,0
not too bad lah,1,0
memberikan jadwal tes yang lebih banyak. serta kemudahan dalam melakukan cetak ulang sertifikat.,0,0
cukup baik tapi butuh perbaikan kembali,1,0
Baik,0,0
diperbaiki,1,1
sudah baik,0,0
bad,0,0
ok,0,0
mohon untuk pelanyanannya ditingkatkan lagi,0,0
ditingkatkan,1,1
sudah baik,1,1
sudah bagus,1,1
sudah baik. cuma kurang sounding,0,0
sudah cukup baik,0,0
"Sound di ruangan kursus harap diganti yang lebih jelas, agar audio di dengar dengan enak",1,1
Sudah bagus,0,0
semoga kedepannya tidak ada kendala dan menjadi lebih baik lagi,0,0
Bagus,0,1
tidak ada komentar,0,0
a more strict use of english language,0,0
harus lebih maju,0,0
"Pusat bahasa kura baik, kurang jelas dalam memberi informasi",0,0
lebih ditingkatkan,0,1
perlu di tingkatkan lagi,0,1
sudah baik,1,1
Memadai,1,1
Lebih bagus lagi sistemnya,0,1
Baik,0,0
-,0,0
lebih ditingkatkan lagi layanan pusat bahasa,0,0
nothing.,0,0
sudah bagus,0,1
nothing all good,0,0
Sudah sangat bagus dan sangat nyaman,0,1
tolong petugasnya lebih ramah lagi,0,0
pelayanan oleh pusat bahasa harus lebih ditingkatkan melalui informasi-informasi ataupun pengumuman bagi mahasiswa-mahasiswi. diharapkan layanan pusat bahasa bisa lebih komunikatif,0,0
lengkapi fasilitas dan permudah layanan,1,0
"kurang memuaskan,dan harus ditingkatkan lagi",0,0
masih mahal,0,0
Saya kurang tau,0,0
I think the service is good enough,0,0
sudah baik,0,0
Tidak ada,0,0
penyesuaian jadwal agar tidak bentrok dengan jam mata kuliah,0,1
-,0,0
pusat layanan bahasa memberikan batch tambahan untuk tiap tahunnya,0,0
saran saya mengadakan English Day setiap 1 bulan sekali.,1,1
sudah sangat bagus,1,1
Saran Saya bangku kelas di LAC diperbaharui karena ada beberapa bangku yang sudah sedikit rusak,1,1
baik,1,1
bagus,0,0
Sudah bagus,0,0
bagus,0,0
,1,1
sudah cukup memuaskan,0,0
tingkatkan pelayanan,0,0
-,0,0
Sudan cukup bagus,0,0
tingkatkan,0,0
Kurang faham,0,0
tingkatkan,0,0
tingkatkan lagi agar menjadi lebih baik,0,0
-,1,1
,0,0
Cukup baik,0,1
lebih d tingkatkan,0,0
Baik,0,0
sudah baik,0,0
-,0,0
Lebih membimbing,0,0
.,1,1
Subelum pernah mengikuti pusat bahasa,0,0
baik,0,0
semoga lebih baik lagi,1,1
Tingkatkan,0,0
sudah baik dalam pelayanannya dan pertahankan.,1,1
seharusnya waktu di perpanjang lebih banyak lagi.,0,0
Ok sudah baik,0,0
-,0,0
Layanan Pusat Bahasa sdah bagus,0,0
sudah baik,0,0
q,1,0
tingkatkan terus kinerja baiknya,1,0
sudah bagus,0,0
BAIK,0,0
ditingkatkan lagi,0,0
Sudah baik,0,0
Tingkatkan,0,0
biasa aja,1,0
Sudah cukup bagus,0,0
-,0,0
sangat baik,1,1
bagus,1,1
pusat bahasa mestinya memeiliki ruangan tersendiri sesuai bidangnya dan di bagi lagi tiap bidangnya agar lebih terfokus.,0,0
"Layanan bahasa sangat baik, hanya perlu dibenahi pada urutan buku karena masih ada yang tidak sesuai dengan peta/map yang ada.",0,0
semoga semakin baik,1,1
bagus,0,0
Well done,0,1
-,0,0
Sudah bagus,0,1
mungkin untuk kedpeannya dalalm meminjaman buku bisa untuk agak lebih lama.,0,0
Tidak ada,0,0
Sudah bagus.,0,0
Semoga menjadi lebih baik,0,0
lebih ditingkatkan lagi,0,1
terus,0,1
saran saya cukup baik,0,0
kurang mengerti,0,0
lumayan baik,0,0
Ditingkatkan lagi dalam pelayanannya,0,0
goodjob,1,1
jangan terlalu mahal,0,0
-,0,0
Sejauh ini sudah baik.. semoga kedepannya bisa jauh lebih baik lagi,0,0
tidak ada,1,1
cukup baik,1,1
mempermudah soal-soal yang di teanya,0,0
"Pertimbangkan pemberian nilai untuk yang mengikuti LAC, karena seperti membayar untuk nilai",1,1
sudah puas,1,1
-,0,0
ok,0,0
Belum ada,0,0
semoga lebih baik lagi dari sebelumnya,0,0
sudah bagus dan tertata dengan baik,1,1
-,1,1
Belum pernah mengikuti,0,0
sudah baik. tapi masih bisa lebih baik lagi,0,0
"sangat baik,hanya cukup jauh sehingga memakan waktu lama",1,1
Pertahankan,1,1
Lebih baik lagi.,1,1
Sudah baik tapi perlu perbaikan,1,1
sudah cukup baik dan dipertahankan apa yang sudah kita miliki,1,1
tidak mengikuti,1,1
sudah bagus,0,0
sudah baik,1,1
Tingkatkann lagi,1,1
lebih ditingkatkan,0,0
Baik,1,1
-,0,0
tingkatkan,0,0
"sudah bagus, tapi lebih ditingkatkan lagi",0,0
lumayan lah,1,1
lebih maju agar berkualitas,0,0
"agar sering mengupdate acara apa apa aja yang dilakukan oleh bidang bahasa, agar mahasiswa bisa ikut serta, dan juga bisa belajar dan melatih bahasa dengan lebih baik lagi",1,1
ditingkatan kali agar lebih baik,1,1
sudah cukup memuaskan,0,0
sistem dan fasilitas yang tersedia sudah cukup memadai,1,1
tingkatkan lagi,1,1
Sudah bagus,0,0
lebih ditingkatkan lagi,1,1
cukup,0,0
sudah baik,1,1
sudah bagus,0,1
Diperbaiki sistemnya agar lebih baik.,1,1
tidak ada,1,1
Ditingkatkan kembali,0,0
"Secara keseluruhan sudah terbilang baik, saya pribadi juga merasa cukup puas, hanya saja saya merasa minat mahasiswa dalam menggunakan layanan pusat bahasa terkait pembelajaran bahasa masih terbilang rendah. Saran saya mungkin perlu ditingkatkan lagi kegiatan- kegiatan promosi yg dilakukan layanan pusat bahasa, dengan tujuan meningkatnya minat mahasiswa untuk menggunakan layanan pusat bahasa.",0,0
Baguuuus,0,0
bisa lebih baik,1,1
harus ditingkatkan dari tahun ke tahun,1,1
_,1,1
semoga menjadi lebih baik,0,0
Belum pernah,0,0
semoga semakin lebih baik dan maju,0,0
kurang promosi,0,0
pelayanan dalam bidang layanan pusat bahasa sebaiknya lebih ditingkatkan,1,1
diberika pelajaran lewat online atau materi online gtu tentang semua bahasa.,0,1
sudah cukup bagus,1,1
sangat baik,1,1
tidak ada,1,1
diperbaiki,1,1
tingkatkan,1,1
Sebaiknya ditingkatkan lagi,0,0
pusat bahasanya sangat memuaskan,0,0
baik,0,0
Bagus,0,0
Sangat Puas,0,0
lebih ditingkatkan lagi pelayanannya dalam bidang layanan pusat bahasanya dan diperlengkap.,0,0
saran untuk bidang layanan pusat bahasa mengenai penyampaian informasi yang cenderung lama dan mendadak,0,0
tingkat kan lagi,0,0
nice,1,1
Lebih banyak sounding,0,0
ramah,0,0
Saran penting: ,0,0
,0,0
,1,0
,0,0
,0,1
,0,0
.,0,0
Lebih baik,1,1
